Problem,Best span algo,Best span,Best sequential/best work algo,Best work,If par WE exists: name,Best WE span
3-Dimensional Delaunay Triangulation,"64Cignoni, Montani, Perego, Scopigno (1993)",1.0,"64Cignoni, Montani, Perego, Scopigno (1993)",20.0,"64Cignoni, Montani, Perego, Scopigno (1993)",1.0
Subset Sum,"66Sanches, Soma, Yanasse (2007)",10.0,"66Sanches, Soma, Yanasse (2007)",988.0,"66Sanches, Soma, Yanasse (2007)",10.0
CFG Parsing,73Parallel Earley's method (1985),10.0,73Parallel Earley's method (1985),30.0,73Parallel Earley's method (1985),10.0
Stable Marriage Problem,"78620Tomas Feder, Nimrod Megiddo, Serge A. Plotkin (1994)",6.23,78611Gale–Shapley algorithm (1962),20.0,,20.0
1D Maximum Subarray,"80Alves, Caceres, Song (1) (2004)",0.0,80628Perumalla and Deo (1995),10.0,"80Alves, Caceres, Song (1) (2004)",0.0
2D Maximum Subarray,"80Alves, Caceres, Song (2) (2004)",0.0,80Smith (1987),30.0,"80Alves, Caceres, Song (2) (2004)",0.0
Constructing Suffix Trees,81637Farach (1997),1.0,"81Blelloch, Shun (2011)",10.0,81637Farach (1997),1.0
Point-in-Polygon,107Puri (2015),1.0,107830Ray casting algorithm Shimrat; M (1962),10.0,,10.0
Maximum Cut,117Akl (1989),1.0,117Akl (1989),6.0,117Akl (1989),1.0
Determinant of Matrices with Integer Entries,"119Preparata, Sarwate (1977)",2.0,"119Preparata, Sarwate (1977)",15.605,"119Preparata, Sarwate (1977)",2.0
Transitive Reduction Problem of Directed Graphs,129Gibbons et al. (1988),4.0,"129Chang, Henschen (1990)",16.0,"129Chang, Henschen (1990)",6.0
2-D Polynomial Interpolation,"142Egecioglu, Gallopoulos, Koc (1990)",1.0,"142Egecioglu, Gallopoulos, Koc (1990)",20.0,"142Egecioglu, Gallopoulos, Koc (1990)",1.0
Greatest Common Divisor,1431003Euclid's algorithm (-300),20.0,1431003Euclid's algorithm (-300),20.0,,20.0
