,X.2,name,Cores,Frequency_GHz,Turbo_1core,L2_MiB,L3_MiB,TDP_W,Launched,Price,GPU_Frequency_MHz,Memory,Mobile,HPC_or_server,Firm,Transistors,Die_size,Desktop.x,Model,Process_nm,Threads,MaxMemoryGiB,Turbo_2core,Turbo_3core,Turbo_4core,Turbo_Max,GPU,GPU_Turbo_MHz,date,price,X,Type,Release.Date,Process.Size..nm.,TDP..W.,Die.Size..mm.2.,Transistors..million.,Freq..MHz.,Foundry,Vendor,FP16.GFLOPS,FP32.GFLOPS,FP64.GFLOPS,Desktop.y,Server,Desktop,Density,Speed,Energy_efficiency,Dennard_l,Dennard_r,real_Price,real_price,log_Density,I(log_Density^2),log_Energy_efficiency,I(log_Energy_efficiency^2),log_Speed,I(log_Speed^2),log_L2_MiB,I(log_L2_MiB^2),log_Cores,I(log_Cores^2),Num_processors,HPC_or_server2
82134,82134,AMD Ryzen 3 1300X,4,3.5,3.7,2,8,65,8/7/17,NA,NA,,NA,0,AMD,4800,192,1,1300X,14,4,64,3.7,3.6,3.6,NA,,,8/7/17,129.99,721,CPU,7/27/17,14,65,192,4800,3400,GF,AMD,NA,NA,NA,1,0,1,25,3.5,258.4615,0,0,162.3601,162.3601,3.218875825,10.36116158,5.554746747,30.85521142,1.252762968,1.569415055,0.693147181,0.480453014,1.386294361,1.921812056,,0
82538,82538,AMD Ryzen 3 2200G,4,3.5,3.7,2,4,65,2/12/18,NA,NA,,NA,0,AMD,4950,210,1,2200G,14,4,64,NA,NA,3.65,NA,,,2/12/18,99,722,CPU,2/12/18,14,65,210,4950,3500,GF,AMD,NA,NA,NA,1,0,1,23.57143,3.5,266.5385,0,0,123.653,123.653,3.160035385,9.985823637,5.585518698,31.19801913,1.252762968,1.569415055,0.693147181,0.480453014,1.386294361,1.921812056,,0
83012,83012,AMD Ryzen 3 3200G,4,3.6,NA,2,4,65,7/6/19,NA,NA,,NA,0,AMD,49,210,1,3200G,12,4,NA,NA,NA,NA,4,,,7/6/19,99,727,CPU,7/7/19,12,65,210,49,3600,GF,AMD,NA,NA,NA,1,0,1,0.2333333,3.6,2.713846,0,0,123.653,123.653,-1.455287375,2.117861345,0.998366817,0.996736301,1.280933845,1.640791516,0.693147181,0.480453014,1.386294361,1.921812056,,0
83182,83182,AMD Ryzen 5 1400,4,3.2,3.4,2,8,65,4/6/17,NA,NA,,NA,0,AMD,4800,192,1,1400,14,8,64,3.4,3.2,NA,NA,,,4/6/17,198.99,742,CPU,4/11/17,14,65,192,4800,3200,GF,AMD,NA,NA,NA,1,0,1,25,3.2,236.3077,0,0,248.5425,248.5425,3.218875825,10.36116158,5.465134769,29.86769805,1.16315081,1.352919806,0.693147181,0.480453014,1.386294361,1.921812056,,0
83744,83744,AMD Ryzen 5 1500X,4,3.5,3.7,2,16,65,4/12/17,NA,NA,,NA,0,AMD,4800,192,1,1500X,14,8,64,3.7,3.6,NA,NA,,,4/12/17,189.99,743,CPU,4/11/17,14,65,192,4800,3500,GF,AMD,NA,NA,NA,1,0,1,25,3.5,258.4615,0,0,237.3013,237.3013,3.218875825,10.36116158,5.554746747,30.85521142,1.252762968,1.569415055,0.693147181,0.480453014,1.386294361,1.921812056,,0
84368,84368,AMD Ryzen 5 1600,6,3.2,3.6,3,16,65,3/30/17,NA,NA,,NA,0,AMD,4800,192,1,1600,14,12,64,3.6,3.3,NA,NA,,,3/30/17,229.17,744,CPU,4/11/17,14,65,192,4800,3200,GF,AMD,NA,NA,NA,1,0,1,25,3.2,236.3077,0,0,286.2379,286.2379,3.218875825,10.36116158,5.465134769,29.86769805,1.16315081,1.352919806,1.098612289,1.206948961,1.791759469,3.210401996,,0
85042,85042,AMD Ryzen 5 1600X,6,3.6,4,3,16,95,4/12/17,NA,NA,,NA,0,AMD,4800,192,1,1600X,14,12,64,4,3.7,NA,NA,,,4/12/17,249.99,745,CPU,4/11/17,14,95,192,4800,3600,GF,AMD,NA,NA,NA,1,0,1,25,3.6,181.8947,0,0,312.2425,312.2425,3.218875825,10.36116158,5.203427948,27.07566241,1.280933845,1.640791516,1.098612289,1.206948961,1.791759469,3.210401996,,0
85660,85660,AMD Ryzen 5 2400G,4,3.6,3.9,2,4,65,2/12/18,NA,NA,,NA,0,AMD,4950,210,1,2400G,14,8,64,NA,NA,NA,NA,,,2/12/18,189.99,746,CPU,2/12/18,14,65,210,4950,3600,GF,AMD,NA,NA,NA,1,0,1,23.57143,3.6,274.1538,0,0,237.3013,237.3013,3.160035385,9.985823637,5.613689263,31.51350714,1.280933845,1.640791516,0.693147181,0.480453014,1.386294361,1.921812056,,0
86096,86096,AMD Ryzen 5 2600,6,3.4,NA,3,16,65,4/21/18,NA,NA,,NA,0,AMD,4800,192,1,2600,12,12,NA,NA,NA,NA,3.9,,,4/21/18,197.98,749,CPU,4/19/18,12,65,192,4800,3400,GF,AMD,NA,NA,NA,1,0,1,25,3.4,251.0769,0,0,247.281,247.281,3.218875825,10.36116158,5.525759267,30.53401547,1.223775432,1.497626307,1.098612289,1.206948961,1.791759469,3.210401996,,0
86737,86737,AMD Ryzen 5 2600X,6,3.6,NA,3,16,95,4/14/18,NA,NA,,NA,0,AMD,4800,192,1,2600X,12,12,NA,NA,NA,NA,4.2,,,4/14/18,229.99,752,CPU,4/19/18,12,95,192,4800,3600,GF,AMD,NA,NA,NA,1,0,1,25,3.6,181.8947,0,0,287.2621,287.2621,3.218875825,10.36116158,5.203427948,27.07566241,1.280933845,1.640791516,1.098612289,1.206948961,1.791759469,3.210401996,,0
