problem,year,Computational Model,model,name
1,2020,arbitrary CRCW PRAM,131,389
1,2020,priority CRCW PRAM,133,417
1,2020,hardware sorter,520,610
1,2021,shared memory (implements OpenMP),100,14
13,2021,unspecified PRAM,100,21
17,2021,unspecified PRAM,100,22
1,2021,CREW PRAM,120,146
42,2021,TPU clusters?,600,644
65,2021,distributed memory,700,763
74,2021,distributed memory,700,764
1,2022,PRAM,100,15
1,2022,PRAM,100,16
1,2022,CREW PRAM,120,147
5,2022,CREW PRAM,120,162
44,2022,CREW PRAM,120,229
1,2022,Common CRCW PRAM,132,407
19,2022,shared memory,300,495
38,2022,CGM,400,535
83,2022,some type of ML model?,600,656
1,2022,parallel external memory (PEM) model,610,664
97,2022,Message Passing Interface (MPI),700,769
1,2023,CREW PRAM,120,148
